,ZIP Code,CTW_<25_Min,CTW_25-45_Min,CTW_>45_Min,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income
0,7002,0.35,0.33,0.32,0.49,0.27,0.1772694113652943,0.3419832900835496
1,10001,0.51,0.36,0.13,0.32,0.42,0.4724682637658681,0.5214123929380353
2,10002,0.35000000000000003,0.41,0.26,0.39,0.24,0.41653879173060415,0.1898440507797461
3,10003,0.52,0.38,0.13,0.28,0.44,0.6766606616696692,0.6056869715651422
4,10004,0.48,0.43,0.09,0.4,0.48,0.6815471592264204,0.880600596997015
5,10005,0.53,0.39,0.08,0.33,0.52,0.8043265978367011,0.8479107604461977
6,10006,0.45999999999999996,0.4,0.13,0.39,0.43,0.5918672040663979,0.8640006799966
7,10007,0.53,0.39999999999999997,0.06999999999999999,0.56,0.47,1.0,1.0
8,10009,0.28,0.49,0.23,0.29,0.38,0.4536462731768634,0.3655931720341398
9,10010,0.44999999999999996,0.35000000000000003,0.18,0.37,0.42,0.5526367236816382,0.645241773791131
10,10011,0.56,0.35,0.1,0.32,0.41,0.739896130051935,0.6935615321923391
11,10012,0.56,0.33,0.1,0.34,0.44,1.0,0.574082129589352
12,10013,0.48000000000000004,0.39999999999999997,0.11,0.48,0.4,1.0,0.6497517512412438
13,10014,0.52,0.36,0.13,0.31,0.45,0.7074916462541768,0.6978265108674456
14,10016,0.57,0.31,0.11,0.32,0.44,0.5806742096628952,0.6207018964905175
15,10017,0.56,0.29,0.16,0.35,0.49,0.4632297683851158,0.6429167854160729
16,10018,0.5,0.41,0.11,0.35,0.4,0.8424655787672106,0.6519867400662996
17,10019,0.52,0.35000000000000003,0.13,0.35,0.38,0.6085501957249021,0.5596672016639916
18,10020,0.53,0.34,0.12000000000000001,0.44,0.35,0.5852272073863963,0.4303978480107599
19,10021,0.41000000000000003,0.38,0.21000000000000002,0.53,0.34,0.904290047854976,0.6993115034424828
20,10022,0.52,0.34,0.13999999999999999,0.45,0.41,0.6860011569994215,0.7915510422447888
21,10023,0.38,0.48,0.15,0.46,0.34,0.8105305947347027,0.7042614786926066
22,10024,0.31000000000000005,0.52,0.18000000000000002,0.5,0.37,0.9343420328289835,0.7366563167184164
23,10025,0.27,0.48,0.24,0.41,0.29,0.7213841393079303,0.47732261338693305
24,10026,0.22,0.51,0.29000000000000004,0.31,0.24,0.6050561974719013,0.3121734391328043
25,10027,0.29000000000000004,0.43000000000000005,0.29000000000000004,0.28,0.24,0.4691237654381173,0.2499037504812476
26,10028,0.32,0.4799999999999999,0.22,0.47,0.4,0.787803606098197,0.6570817145914271
27,10029,0.27,0.43000000000000005,0.29000000000000004,0.3,0.19,0.4408077795961102,0.18279408602956984
