ZIPCODE,Green_%age,2021_Employment_Rate,2019_Pop_3+_in_Nursery/Presch,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,commute_rank,safety_rank
10001,0.011399073,0.917,0.0074,0.32,0.42,0.472468264,0.521412393,0.927777778,0.044444444
10002,0.177065689,0.884,0.0104,0.39,0.24,0.416538792,0.189844051,0.822222222,0.355555556
10003,0.03907648,0.929,0.0079,0.28,0.44,0.676660662,0.605686972,0.955555556,0.188888889
10004,0.074974507,0.96,0.0182,0.4,0.48,0.681547159,0.880600597,0.916666667,0.022222222
10005,0.002951553,0.962,0.0118,0.33,0.52,0.804326598,0.84791076,0.972222222,0.033333333
10006,0.001282145,0.962,0.0025,0.39,0.43,0.591867204,0.86400068,0.905555556,0.011111111
10007,0.094746718,0.976,0.0466,0.56,0.47,1,1,0.966666667,0.038888889
10009,0.064173132,0.927,0.0091,0.29,0.38,0.453646273,0.365593172,0.694444444,0.655555556
10010,0.053523174,0.935,0.0185,0.37,0.42,0.552636724,0.645241774,0.9,0.172222222
10011,0.034525808,0.932,0.0101,0.32,0.41,0.73989613,0.693561532,0.988888889,0.094444444
10012,0.02526717,0.945,0.0071,0.34,0.44,1,0.57408213,0.983333333,0.055555556
10013,0.032213264,0.937,0.0284,0.48,0.4,1,0.649751751,0.911111111,0.061111111
10014,0.024156533,0.925,0.0149,0.31,0.45,0.707491646,0.697826511,0.95,0.166666667
10016,0.021075246,0.938,0.0085,0.32,0.44,0.58067421,0.620701896,0.994444444,0.225
10017,0.022915454,0.977,0.005,0.35,0.49,0.463229768,0.642916785,0.977777778,0.072222222
10018,0.039515746,0.938,0.0135,0.35,0.4,0.842465579,0.65198674,0.922222222,0.016666667
10019,0.021307796,0.925,0.0058,0.35,0.38,0.608550196,0.559667202,0.944444444,0.066666667
10021,0.008471654,0.974,0.0218,0.53,0.34,0.904290048,0.699311503,0.872222222,0.552777778
10022,0.017510265,0.958,0.0152,0.45,0.41,0.686001157,0.791551042,0.938888889,0.2
10023,0.085983595,0.944,0.0162,0.46,0.34,0.810530595,0.704261479,0.855555556,0.291666667
10024,0.399618878,0.951,0.0221,0.5,0.37,0.934342033,0.736656317,0.766666667,0.533333333
