,ZIPCODE,green_tweet_rank
0,10001,0.15555555555555556
1,10002,0.9388888888888889
2,10003,0.65
3,10004,0.49444444444444446
4,10005,0.5555555555555556
5,10006,0.8444444444444444
6,10007,0.8777777777777778
7,10009,0.9333333333333333
8,10010,0.5666666666666667
9,10011,0.4222222222222222
10,10012,0.9277777777777778
11,10013,0.46111111111111114
12,10014,0.6833333333333333
13,10016,0.48333333333333334
14,10017,0.25
15,10018,0.2833333333333333
16,10019,0.4444444444444444
17,10020,0.005555555555555556
18,10021,0.3277777777777778
19,10022,0.5944444444444444
20,10023,0.7555555555555555
21,10024,0.8
22,10025,0.8833333333333333
23,10026,0.9444444444444444
24,10027,0.9222222222222223
25,10028,0.3111111111111111
26,10029,0.8111111111111111
27,10030,0.9555555555555556
28,10031,0.7888888888888889
29,10032,0.9611111111111111
30,10033,0.2777777777777778
31,10034,0.7222222222222222
32,10035,0.95
33,10036,0.6333333333333333
34,10037,0.9666666666666667
35,10038,0.8722222222222222
36,10039,0.9722222222222222
37,10040,0.6611111111111111
38,10044,0.011111111111111112
39,10065,0.7777777777777778
40,10069,0.35
41,10075,0.06111111111111111
42,10128,0.5777777777777777
43,10280,0.9777777777777777
44,10281,0.9833333333333333
45,10282,0.9888888888888889
46,10301,0.7388888888888889
47,10302,0.28888888888888886
48,10303,0.4722222222222222
49,10304,0.18888888888888888
50,10305,0.21666666666666667
51,10306,0.2611111111111111
52,10308,0.15
53,10310,0.10555555555555556
54,10312,0.9944444444444445
55,10314,0.24444444444444444
56,10451,0.8611111111111112
57,10452,1.0
58,10453,0.8555555555555555
59,10454,0.5388888888888889
60,10455,0.7944444444444444
61,10456,0.8944444444444445
62,10457,0.9055555555555556
63,10458,0.2
64,10459,0.7444444444444445
65,10460,0.7833333333333333
66,10461,0.8333333333333334
67,10462,0.4
68,10463,0.7
69,10464,0.4166666666666667
70,10465,0.34444444444444444
71,10466,0.022222222222222223
72,10467,0.7333333333333333
73,10468,0.7166666666666667
74,10469,0.1388888888888889
75,10470,0.7277777777777777
76,10471,0.8222222222222222
77,10472,0.38333333333333336
78,10473,0.7055555555555556
79,10474,0.9111111111111111
80,10475,0.7666666666666667
81,11004,0.07777777777777778
82,11005,0.2388888888888889
83,11101,0.3
84,11102,0.8666666666666667
85,11103,0.16666666666666666
86,11104,0.5277777777777778
87,11105,0.3611111111111111
88,11106,0.3333333333333333
89,11109,0.4666666666666667
90,11201,0.5444444444444444
91,11203,0.3055555555555556
92,11204,0.7722222222222223
93,11205,0.8166666666666667
94,11206,0.6666666666666666
95,11207,0.6555555555555556
96,11208,0.1
97,11209,0.31666666666666665
98,11210,0.5166666666666667
99,11211,0.40555555555555556
100,11212,0.8277777777777777
101,11213,0.8888888888888888
102,11214,0.06666666666666667
103,11215,0.20555555555555555
104,11216,0.5722222222222222
105,11217,0.4111111111111111
106,11218,0.6888888888888889
107,11219,0.08888888888888889
108,11220,0.23333333333333334
109,11221,0.8388888888888889
110,11222,0.6055555555555555
111,11223,0.32222222222222224
112,11224,0.6166666666666667
113,11225,0.39444444444444443
114,11226,0.027777777777777776
115,11228,0.3888888888888889
116,11229,0.4388888888888889
117,11230,0.42777777777777776
118,11231,0.45555555555555555
119,11232,0.2111111111111111
120,11233,0.6722222222222223
121,11234,0.6444444444444445
122,11235,0.5222222222222223
123,11236,0.55
124,11237,0.18333333333333332
125,11238,0.5
126,11239,0.5833333333333334
127,11249,0.37777777777777777
128,11354,0.4777777777777778
129,11355,0.2722222222222222
130,11356,0.6111111111111112
131,11357,0.16111111111111112
132,11358,0.2222222222222222
133,11360,0.6222222222222222
134,11361,0.25555555555555554
135,11362,0.9166666666666666
136,11363,0.07222222222222222
137,11364,0.7111111111111111
138,11365,0.5333333333333333
139,11366,0.75
140,11367,0.6388888888888888
141,11368,0.7611111111111111
142,11369,0.6
143,11370,0.05555555555555555
144,11372,0.5055555555555555
145,11373,0.6944444444444444
146,11374,0.09444444444444444
147,11375,0.14444444444444443
148,11377,0.22777777777777777
149,11378,0.26666666666666666
150,11379,0.13333333333333333
151,11385,0.19444444444444445
152,11411,0.9
153,11412,0.08333333333333333
154,11413,0.29444444444444445
155,11414,0.4888888888888889
156,11415,0.5611111111111111
157,11416,0.12777777777777777
158,11417,0.43333333333333335
159,11418,0.85
160,11419,0.11666666666666667
161,11420,0.3388888888888889
162,11421,0.1111111111111111
163,11422,0.05
164,11423,0.17222222222222222
165,11426,0.6277777777777778
166,11427,0.45
167,11428,0.044444444444444446
168,11429,0.5888888888888889
169,11430,0.03333333333333333
170,11432,0.12222222222222222
171,11433,0.17777777777777778
172,11434,0.5111111111111111
173,11435,0.6777777777777778
174,11436,0.35555555555555557
175,11691,0.03888888888888889
176,11692,0.8055555555555556
177,11693,0.37222222222222223
178,11694,0.36666666666666664
179,11697,0.016666666666666666
