,ZIPCODE,CTW_<25_Min,CTW_25-45_Min,CTW_>45_Min,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,final_score_scale,0_percent,1_percent,2_percent
81,11004,0.4,0.24,0.35,0.56,0.28,0.277839361,0.506802466,0.281940769,0.166666667,0.5,0.333333333
82,11005,0.35,0.13,0.53,0.42,0.25,0.504629248,0.325018375,0.555832852,0.473684211,0.315789474,0.210526316
83,11101,0.24,0.49,0.25,0.43,0.27,0.464735768,0.509212454,0.647479729,0.532374101,0.460911271,0.006714628
84,11102,0.12,0.44,0.43,0.39,0.36,0.406024797,0.36595817,0.628695233,0.978033473,0.021966527,0
85,11103,0.17,0.41,0.43,0.41,0.35,0.448190776,0.40196299,0.525740826,0.393305439,0.405857741,0.20083682
86,11104,0.14,0.5,0.37,0.45,0.31,0.372064314,0.346428268,0.660128997,0.74137931,0.25862069,0
87,11105,0.18,0.33,0.5,0.43,0.34,0.443326278,0.432792836,0.62525685,0.594117647,0.385294118,0.020588235
88,11106,0.17,0.45,0.39,0.42,0.34,0.348129326,0.359823201,0.65898249,0.569148936,0.260638298,0.170212766
89,11109,0.25,0.53,0.21,0.63,0.4,0.497747251,0.843605782,0.653654231,0.705882353,0.294117647,0
90,11201,0.29,0.49,0.22,0.45,0.35,0.576331212,0.741101294,0.482163057,0.758961039,0.24017316,0.000865801
91,11203,0.14,0.33,0.52,0.39,0.17,0.273839363,0.289533552,0.590738774,0.535825545,0.38317757,0.080996885
92,11204,0.27,0.24,0.49,0.58,0.2,0.484603758,0.279808601,0.623618811,0.949541284,0.04587156,0.004587156
93,11205,0.26,0.35,0.38,0.36,0.28,0.427639786,0.329328353,0.504180298,0.964064436,0.035935564,0
94,11206,0.23,0.4,0.37,0.33,0.24,0.424029288,0.216378918,0.591101129,0.877068558,0.122931442,0
95,11207,0.14,0.28,0.58,0.31,0.13,0.297214351,0.212453938,0.579007197,0.872670807,0.127329193,0
96,11208,0.13,0.43,0.43,0.39,0.11,0.292389854,0.236798816,0.796057118,0.196551724,0.748275862,0.055172414
97,11209,0.21,0.21,0.58,0.51,0.3,0.455681772,0.407062965,0.534763166,0.543046358,0.14790287,0.309050773
98,11210,0.22,0.25,0.54,0.46,0.23,0.375218812,0.371583142,0.701738073,0.728723404,0.260638298,0.010638298
99,11211,0.27,0.51,0.21,0.39,0.36,0.572840714,0.41407793,0.593108315,0.671794872,0.328205128,0
100,11212,0.15,0.26,0.59,0.27,0.12,0.246074377,0.146739266,0.573701886,0.96969697,0.03030303,0
101,11213,0.21,0.29,0.5,0.32,0.2,0.477791761,0.237403813,0.634539049,0.984693878,0.015306122,0
102,11214,0.22,0.21,0.59,0.55,0.23,0.431769284,0.309243454,0.557985669,0.131191432,0.83935743,0.029451138
103,11215,0.16,0.38,0.46,0.53,0.37,0.705123147,0.753211234,0.611498461,0.434210526,0.551036683,0.014752791
104,11216,0.14,0.39,0.47,0.31,0.31,0.689030655,0.358583207,0.606377291,0.781413613,0.218586387,0
105,11217,0.19,0.5,0.3,0.41,0.36,0.842315079,0.632956835,0.541257437,0.67220339,0.327118644,0.000677966
106,11218,0.23,0.27,0.49,0.53,0.26,0.467282766,0.385283074,0.596911081,0.896142433,0.102373887,0.00148368
107,11219,0.38,0.21,0.4,0.62,0.14,0.511468244,0.214893926,0.723709887,0.18556701,0.75257732,0.06185567
